"created_at","ticket_id","location","requester","priority","assignee","status","category","closed_on","resolution_days","data_error","created_month","created_week","created_hour","priority_set","category_grouped"
2026-06-30 08:02:00,14378,NA,"Requester_1","Medium","Assignee_1","Closed","User Accounts & Access",2026-06-30,0,FALSE,2026-06-01,2026-06-28,8,"Set","User Accounts & Access"
2026-06-29 16:12:00,14374,"B1","Requester_2","High","Assignee_3","Closed","IT Services & Requests",2026-06-30,1,FALSE,2026-06-01,2026-06-28,16,"Set","IT Services & Requests"
2026-06-29 14:28:00,14371,"B1","Requester_3","Medium","Assignee_4","Closed","User Accounts & Access",2026-06-29,0,FALSE,2026-06-01,2026-06-28,14,"Set","User Accounts & Access"
2026-06-29 14:13:00,14369,NA,"Requester_4","Medium","Assignee_2","Closed","Printers & Labeling",2026-06-29,0,FALSE,2026-06-01,2026-06-28,14,"Set","Printers & Labeling"
2026-06-29 13:29:00,14368,"B2","Requester_5","Medium","Assignee_2","Closed","Other",2026-06-29,0,FALSE,2026-06-01,2026-06-28,13,"Set","Other"
2026-06-29 13:23:00,14367,"B1","Requester_6","NONE","Assignee_4","Closed","Software & Applications",2026-06-29,0,FALSE,2026-06-01,2026-06-28,13,"Not Set","Software & Applications"
2026-06-29 11:42:00,14366,"B1","Requester_7","Medium","Assignee_4","Closed","Software & Applications",2026-06-29,0,FALSE,2026-06-01,2026-06-28,11,"Set","Software & Applications"
2026-06-29 10:59:00,14365,"B1","Requester_2","NONE","Assignee_4","Closed","User Accounts & Access",2026-06-29,0,FALSE,2026-06-01,2026-06-28,10,"Not Set","User Accounts & Access"
2026-06-29 10:39:00,14363,"B1","Requester_8","High","Assignee_4","Closed","IT Services & Requests",2026-06-29,0,FALSE,2026-06-01,2026-06-28,10,"Set","IT Services & Requests"
2026-06-29 10:20:00,14361,"B1","Requester_9","Medium","Assignee_1","Closed","Sage X3",2026-06-30,1,FALSE,2026-06-01,2026-06-28,10,"Set","Sage X3"
2026-06-29 07:51:00,14357,NA,"Requester_10","High","Assignee_1","Closed","Printers & Labeling",2026-06-29,0,FALSE,2026-06-01,2026-06-28,7,"Set","Printers & Labeling"
2026-06-29 07:07:00,14356,NA,"Requester_10","High","Assignee_1","Closed","IT Services & Requests",2026-06-29,0,FALSE,2026-06-01,2026-06-28,7,"Set","IT Services & Requests"
2026-06-29 06:18:00,14355,NA,"Requester_11","Low","Assignee_1","Closed","User Accounts & Access",2026-06-30,1,FALSE,2026-06-01,2026-06-28,6,"Set","User Accounts & Access"
2026-06-28 06:27:00,14353,NA,"Requester_12","NONE","Assignee_5","Closed","IT Services & Requests",2026-06-28,0,FALSE,2026-06-01,2026-06-28,6,"Not Set","IT Services & Requests"
2026-06-27 21:32:00,14352,NA,"Requester_13","Low","Assignee_2","Closed","Network & Connectivity",2026-06-27,0,FALSE,2026-06-01,2026-06-21,21,"Set","Network & Connectivity"
2026-06-26 16:12:00,14348,"B1","Requester_14","NONE","Assignee_4","Closed","Software & Applications",2026-06-26,0,FALSE,2026-06-01,2026-06-21,16,"Not Set","Software & Applications"
2026-06-26 14:58:00,14344,"B2","Requester_15","Medium","Assignee_2","Closed","Printers & Labeling",2026-06-29,3,FALSE,2026-06-01,2026-06-21,14,"Set","Printers & Labeling"
2026-06-26 14:23:00,14342,"B1","Requester_7","NONE","Assignee_3","Closed","Software & Applications",2026-06-26,0,FALSE,2026-06-01,2026-06-21,14,"Not Set","Software & Applications"
2026-06-26 13:46:00,14341,"B1","Requester_6","NONE","Assignee_4","Closed","IT Services & Requests",2026-06-26,0,FALSE,2026-06-01,2026-06-21,13,"Not Set","IT Services & Requests"
2026-06-26 11:54:00,14339,NA,"Requester_16","Low","Assignee_2","Closed","Software & Applications",2026-06-29,3,FALSE,2026-06-01,2026-06-21,11,"Set","Software & Applications"
2026-06-26 11:09:00,14337,"B1","Requester_17","NONE","Assignee_5","Closed","User Accounts & Access",2026-06-26,0,FALSE,2026-06-01,2026-06-21,11,"Not Set","User Accounts & Access"
2026-06-26 09:50:00,14336,"B1","Requester_18","NONE","Assignee_4","Closed","Other",2026-06-26,0,FALSE,2026-06-01,2026-06-21,9,"Not Set","Other"
2026-06-26 09:42:00,14335,"B1","Requester_18","NONE","Assignee_4","Closed","Sage X3",2026-06-26,0,FALSE,2026-06-01,2026-06-21,9,"Not Set","Sage X3"
2026-06-26 09:12:00,14334,"B1","Requester_19","NONE","Assignee_1","Closed","User Accounts & Access",2026-06-26,0,FALSE,2026-06-01,2026-06-21,9,"Not Set","User Accounts & Access"
2026-06-26 08:06:00,14333,"B2","Requester_20","NONE","Assignee_2","Closed","Sage X3",2026-06-26,0,FALSE,2026-06-01,2026-06-21,8,"Not Set","Sage X3"
2026-06-26 07:57:00,14332,NA,"Requester_4","NONE","Assignee_5","Closed","Sage X3",2026-06-26,0,FALSE,2026-06-01,2026-06-21,7,"Not Set","Sage X3"
2026-06-26 07:44:00,14331,"NFP","Requester_21","NONE","Assignee_5","Closed","Network & Connectivity",2026-06-26,0,FALSE,2026-06-01,2026-06-21,7,"Not Set","Network & Connectivity"
2026-06-26 07:40:00,14330,"B2","Requester_22","NONE","Assignee_2","Closed","Sage X3",2026-06-26,0,FALSE,2026-06-01,2026-06-21,7,"Not Set","Sage X3"
2026-06-26 07:38:00,14329,NA,"Requester_13","Medium","Assignee_2","Closed","IT Services & Requests",2026-06-29,3,FALSE,2026-06-01,2026-06-21,7,"Set","IT Services & Requests"
2026-06-26 07:14:00,14328,NA,"Requester_11","NONE","Assignee_1","Closed","Sage X3",2026-06-26,0,FALSE,2026-06-01,2026-06-21,7,"Not Set","Sage X3"
2026-06-26 06:50:00,14327,NA,"Requester_11","NONE","Assignee_1","Closed","Sage X3",2026-06-26,0,FALSE,2026-06-01,2026-06-21,6,"Not Set","Sage X3"
2026-06-26 06:39:00,14326,"B1","Requester_23","NONE","Assignee_1","Closed","Sage X3",2026-06-26,0,FALSE,2026-06-01,2026-06-21,6,"Not Set","Sage X3"
2026-06-25 17:41:00,14325,"B1","Requester_24","NONE","Assignee_5","Closed","Network & Connectivity",2026-06-25,0,FALSE,2026-06-01,2026-06-21,17,"Not Set","Network & Connectivity"
2026-06-25 17:14:00,14324,"B1","Requester_25","NONE","Assignee_3","Closed","Printers & Labeling",2026-06-26,1,FALSE,2026-06-01,2026-06-21,17,"Not Set","Printers & Labeling"
2026-06-25 15:07:00,14323,NA,"Requester_26","NONE","Assignee_4","Closed","Network & Connectivity",2026-06-25,0,FALSE,2026-06-01,2026-06-21,15,"Not Set","Network & Connectivity"
2026-06-25 14:55:00,14322,"B1","Requester_27","NONE","Assignee_4","Closed","Network & Connectivity",2026-06-25,0,FALSE,2026-06-01,2026-06-21,14,"Not Set","Network & Connectivity"
2026-06-25 11:40:00,14319,NA,"Requester_28","NONE","Assignee_4","Closed","IT Services & Requests",2026-06-25,0,FALSE,2026-06-01,2026-06-21,11,"Not Set","IT Services & Requests"
2026-06-25 11:01:00,14318,"B1","Requester_7","NONE","Assignee_1","Closed","Software & Applications",2026-06-25,0,FALSE,2026-06-01,2026-06-21,11,"Not Set","Software & Applications"
2026-06-25 08:44:00,14316,"B1","Requester_29","NONE","Assignee_1","Closed","User Accounts & Access",2026-06-26,1,FALSE,2026-06-01,2026-06-21,8,"Not Set","User Accounts & Access"
2026-06-25 08:44:00,14315,"B1","Requester_30","Medium","Assignee_2","Closed","Other",2026-06-25,0,FALSE,2026-06-01,2026-06-21,8,"Set","Other"
2026-06-25 08:07:00,14313,"B2","Requester_20","Medium","Assignee_2","Closed","Sage X3",2026-06-25,0,FALSE,2026-06-01,2026-06-21,8,"Set","Sage X3"
2026-06-24 15:18:00,14310,NA,"Requester_31","Low","Assignee_2","Closed","IT Services & Requests",2026-06-24,0,FALSE,2026-06-01,2026-06-21,15,"Set","IT Services & Requests"
2026-06-24 14:45:00,14309,"B1","Requester_7","NONE","Assignee_5","Closed","Software & Applications",2026-06-24,0,FALSE,2026-06-01,2026-06-21,14,"Not Set","Software & Applications"
2026-06-24 11:58:00,14307,"B1","Requester_32","NONE","Assignee_1","Closed","Sage X3",2026-06-24,0,FALSE,2026-06-01,2026-06-21,11,"Not Set","Sage X3"
2026-06-24 10:28:00,14305,NA,"Requester_33","NONE","Assignee_1","Closed","Printers & Labeling",2026-06-24,0,FALSE,2026-06-01,2026-06-21,10,"Not Set","Printers & Labeling"
2026-06-24 10:14:00,14303,NA,"Requester_34","NONE","Assignee_4","Closed","Network & Connectivity",2026-06-26,2,FALSE,2026-06-01,2026-06-21,10,"Not Set","Network & Connectivity"
2026-06-23 16:28:00,14299,NA,"Requester_4","Medium","Assignee_2","Closed","IT Services & Requests",2026-06-24,1,FALSE,2026-06-01,2026-06-21,16,"Set","IT Services & Requests"
2026-06-23 14:38:00,14297,"B1","Requester_35","NONE","Assignee_1","Closed","Sage X3",2026-06-23,0,FALSE,2026-06-01,2026-06-21,14,"Not Set","Sage X3"
2026-06-23 13:43:00,14296,NA,"Requester_33","NONE","Assignee_3","Closed","Printers & Labeling",2026-06-23,0,FALSE,2026-06-01,2026-06-21,13,"Not Set","Printers & Labeling"
2026-06-23 13:41:00,14295,NA,"Requester_33","NONE","Assignee_3","Closed","IT Services & Requests",2026-06-25,2,FALSE,2026-06-01,2026-06-21,13,"Not Set","IT Services & Requests"
2026-06-23 11:32:00,14292,"B1","Requester_17","NONE","Assignee_4","Closed","Network & Connectivity",2026-06-23,0,FALSE,2026-06-01,2026-06-21,11,"Not Set","Network & Connectivity"
2026-06-23 11:24:00,14291,NA,"Requester_33","NONE","Assignee_3","Closed","Printers & Labeling",2026-06-23,0,FALSE,2026-06-01,2026-06-21,11,"Not Set","Printers & Labeling"
2026-06-22 16:33:00,14287,"B1","Requester_36","Low","Assignee_2","Closed","Software & Applications",2026-06-23,1,FALSE,2026-06-01,2026-06-21,16,"Set","Software & Applications"
2026-06-22 15:58:00,14286,"B2","Requester_15","Low","Assignee_2","Closed","Printers & Labeling",2026-06-24,2,FALSE,2026-06-01,2026-06-21,15,"Set","Printers & Labeling"
2026-06-22 15:57:00,14285,"B2","Requester_15","Low","Assignee_2","Closed","Printers & Labeling",2026-06-23,1,FALSE,2026-06-01,2026-06-21,15,"Set","Printers & Labeling"
2026-06-22 13:55:00,14283,"B1","Requester_37","Medium","Assignee_5","Closed","Network & Connectivity",2026-06-23,1,FALSE,2026-06-01,2026-06-21,13,"Set","Network & Connectivity"
2026-06-22 13:35:00,14282,NA,"Requester_38","NONE","Assignee_1","Closed","Sage X3",2026-06-22,0,FALSE,2026-06-01,2026-06-21,13,"Not Set","Sage X3"
2026-06-22 13:02:00,14281,"B1","Requester_39","NONE","Assignee_1","Closed","User Accounts & Access",2026-06-22,0,FALSE,2026-06-01,2026-06-21,13,"Not Set","User Accounts & Access"
2026-06-22 11:48:00,14280,NA,"Requester_40","NONE","Assignee_3","Closed","IT Services & Requests",2026-06-30,8,FALSE,2026-06-01,2026-06-21,11,"Not Set","IT Services & Requests"
2026-06-22 09:14:00,14277,NA,"Requester_33","NONE","Assignee_3","Closed","User Accounts & Access",2026-06-26,4,FALSE,2026-06-01,2026-06-21,9,"Not Set","User Accounts & Access"
2026-06-22 07:22:00,14275,"B1","Requester_41","NONE","Assignee_3","Closed","Other",2026-06-22,0,FALSE,2026-06-01,2026-06-21,7,"Not Set","Other"
2026-06-19 15:15:00,14272,"B1","Requester_42","NONE","Assignee_4","Closed","IT Services & Requests",2026-06-19,0,FALSE,2026-06-01,2026-06-14,15,"Not Set","IT Services & Requests"
2026-06-19 13:48:00,14270,"B1","Requester_37","Medium","Assignee_5","Closed","User Accounts & Access",2026-06-19,0,FALSE,2026-06-01,2026-06-14,13,"Set","User Accounts & Access"
2026-06-19 12:56:00,14269,"B2","Requester_5","Low","Assignee_2","Closed","Sage X3",2026-06-19,0,FALSE,2026-06-01,2026-06-14,12,"Set","Sage X3"
2026-06-19 12:34:00,14268,"B1","Requester_41","NONE","Assignee_3","Closed","IT Services & Requests",2026-06-19,0,FALSE,2026-06-01,2026-06-14,12,"Not Set","IT Services & Requests"
2026-06-19 11:47:00,14267,"B1","Requester_43","NONE","Assignee_1","Closed","IT Services & Requests",2026-06-22,3,FALSE,2026-06-01,2026-06-14,11,"Not Set","IT Services & Requests"
2026-06-19 11:01:00,14266,"B1","Requester_9","NONE","Assignee_4","Closed","IT Services & Requests",2026-06-19,0,FALSE,2026-06-01,2026-06-14,11,"Not Set","IT Services & Requests"
2026-06-19 09:51:00,14264,"B1","Requester_24","Medium",NA,"Closed","Other",2026-06-19,0,FALSE,2026-06-01,2026-06-14,9,"Set","Other"
2026-06-19 09:31:00,14263,"B1","Requester_24","Medium",NA,"Closed","Other",2026-06-19,0,FALSE,2026-06-01,2026-06-14,9,"Set","Other"
2026-06-19 07:34:00,14260,NA,"Requester_44","NONE","Assignee_2","Closed","IT Services & Requests",2026-06-19,0,FALSE,2026-06-01,2026-06-14,7,"Not Set","IT Services & Requests"
2026-06-19 00:23:00,14257,NA,"Requester_45","NONE","Assignee_3","Closed","IT Services & Requests",2026-06-19,0,FALSE,2026-06-01,2026-06-14,0,"Not Set","IT Services & Requests"
2026-06-18 23:08:00,14256,NA,"Requester_46","NONE","Assignee_3","Closed","User Accounts & Access",2026-06-19,1,FALSE,2026-06-01,2026-06-14,23,"Not Set","User Accounts & Access"
2026-06-18 16:22:00,14254,"B1","Requester_39","NONE","Assignee_1","Closed","Printers & Labeling",2026-06-18,0,FALSE,2026-06-01,2026-06-14,16,"Not Set","Printers & Labeling"
2026-06-18 16:16:00,14253,"B1","Requester_47","NONE","Assignee_3","Closed","IT Services & Requests",2026-06-19,1,FALSE,2026-06-01,2026-06-14,16,"Not Set","IT Services & Requests"
2026-06-18 15:44:00,14252,"B1","Requester_48","NONE","Assignee_1","Closed","IT Services & Requests",2026-06-19,1,FALSE,2026-06-01,2026-06-14,15,"Not Set","IT Services & Requests"
2026-06-18 15:27:00,14250,"B2","Requester_5","Low","Assignee_2","Closed","Sage X3",2026-06-18,0,FALSE,2026-06-01,2026-06-14,15,"Set","Sage X3"
2026-06-18 12:11:00,14248,"B1","Requester_7","NONE","Assignee_1","Closed","Software & Applications",2026-06-18,0,FALSE,2026-06-01,2026-06-14,12,"Not Set","Software & Applications"
2026-06-18 11:41:00,14247,"B1","Requester_24","NONE","Assignee_3","Closed","Network & Connectivity",2026-06-18,0,FALSE,2026-06-01,2026-06-14,11,"Not Set","Network & Connectivity"
2026-06-18 09:47:00,14244,"B1","Requester_36","Low","Assignee_2","Closed","IT Services & Requests",2026-06-18,0,FALSE,2026-06-01,2026-06-14,9,"Set","IT Services & Requests"
2026-06-18 08:26:00,14239,NA,"Requester_49","NONE","Assignee_3","Closed","Software & Applications",2026-06-18,0,FALSE,2026-06-01,2026-06-14,8,"Not Set","Software & Applications"
2026-06-18 06:07:00,14237,"B2","Requester_22","Low","Assignee_2","Closed","Printers & Labeling",2026-06-23,5,FALSE,2026-06-01,2026-06-14,6,"Set","Printers & Labeling"
2026-06-18 00:14:00,14236,NA,"Requester_46","NONE","Assignee_1","Closed","Printers & Labeling",2026-06-18,0,FALSE,2026-06-01,2026-06-14,0,"Not Set","Printers & Labeling"
2026-06-17 17:58:00,14235,"B1","Requester_50","Medium","Assignee_5","Closed","Software & Applications",2026-06-19,2,FALSE,2026-06-01,2026-06-14,17,"Set","Software & Applications"
2026-06-17 15:33:00,14234,"B1","Requester_7","NONE","Assignee_1","Closed","Software & Applications",2026-06-17,0,FALSE,2026-06-01,2026-06-14,15,"Not Set","Software & Applications"
2026-06-17 14:30:00,14232,NA,"Requester_4","NONE","Assignee_5","Closed","Sage X3",2026-06-17,0,FALSE,2026-06-01,2026-06-14,14,"Not Set","Sage X3"
2026-06-17 10:06:00,14229,"B1","Requester_51","NONE","Assignee_1","Closed","User Accounts & Access",2026-06-19,2,FALSE,2026-06-01,2026-06-14,10,"Not Set","User Accounts & Access"
2026-06-17 08:49:00,14227,NA,"Requester_44","High","Assignee_2","Closed","Printers & Labeling",2026-06-17,0,FALSE,2026-06-01,2026-06-14,8,"Set","Printers & Labeling"
2026-06-17 08:20:00,14225,"B1","Requester_52","NONE","Assignee_3","Closed","Software & Applications",2026-06-17,0,FALSE,2026-06-01,2026-06-14,8,"Not Set","Software & Applications"
2026-06-16 18:47:00,14224,"B1","Requester_24","NONE","Assignee_1","Closed","Sage X3",2026-06-18,2,FALSE,2026-06-01,2026-06-14,18,"Not Set","Sage X3"
